,Family,CCAvg,Education,Income,CD Account,Mortgage,Personal Loan
225,1,1.5,3,93,0,0,0
226,2,1.7,2,39,0,0,0
227,2,7.5,1,148,1,0,0
228,4,1.9,3,53,1,98,0
229,2,1.7,1,71,0,145,0
230,1,2.8,2,92,0,0,0
231,4,2.1,3,61,0,0,0
232,3,2.5,2,38,0,135,0
233,4,1.7,1,58,0,0,0
234,1,0.8,2,80,0,150,0
235,4,1.8,3,71,0,0,0
236,3,0.5,3,89,0,0,0
237,1,1.8,3,83,0,0,0
238,3,0.2,1,28,0,0,0
239,4,1.7,2,52,0,0,0
240,1,1.2,1,70,0,169,0
241,1,1.4,3,71,0,0,0
242,1,3.7,3,75,0,280,0
243,3,7.9,3,170,1,99,1
244,4,0.8,1,78,0,78,0
245,2,1.0,2,25,0,0,0
246,2,0.6,3,60,0,0,0
247,4,2.7,2,120,1,111,1
248,2,1.4,1,99,0,264,0
249,3,2.6,3,55,0,113,0
250,3,1.0,2,29,0,117,0
251,2,6.2,2,170,0,325,1
252,3,2.2,1,53,0,0,0
253,1,0.0,1,138,0,0,0
254,3,3.9,3,134,0,121,1
255,2,0.7,3,42,0,138,0
256,4,2.3,3,99,0,0,0
257,3,0.5,1,18,0,0,0
258,4,0.3,1,24,0,0,0
259,1,1.4,1,55,0,77,0
260,1,0.0,1,58,0,0,0
261,2,1.2,3,111,0,251,1
262,1,0.3,3,33,1,0,0
263,4,1.8,2,74,0,112,0
264,2,0.7,1,38,0,0,0
265,4,0.6,3,23,0,98,0
266,2,1.5,1,61,0,0,0
267,1,2.9,1,81,0,138,0
268,1,2.5,1,129,0,0,0
269,1,0.75,3,33,0,0,0
270,4,2.2,1,63,0,0,0
271,4,1.4,2,70,0,0,0
272,4,0.2,1,45,0,158,0
273,3,0.5,3,65,0,0,0
274,4,2.2,1,74,0,0,0
276,4,0.5,3,22,0,109,0
277,4,1.0,3,30,0,0,0
278,4,1.0,1,21,0,0,0
279,2,3.9,1,155,0,0,0
280,4,2.1,3,64,0,164,0
281,4,2.6,3,65,0,0,0
282,4,0.7,3,71,0,0,0
283,3,0.5,2,40,0,0,0
284,3,0.5,3,69,0,0,0
285,3,2.33,2,69,0,0,0
286,3,0.6,2,45,0,131,0
287,3,0.7,2,62,0,0,0
288,2,4.3,3,172,1,391,1
289,3,1.0,2,24,0,0,0
290,1,4.9,1,80,0,0,0
291,3,0.67,2,8,0,88,0
292,4,0.8,1,38,0,129,0
293,4,2.6,3,93,0,0,0
294,1,2.0,1,55,0,0,0
295,2,1.7,3,64,0,0,0
296,1,0.0,1,122,0,0,0
297,3,1.4,3,70,0,0,0
298,2,3.2,1,81,0,0,0
299,1,5.5,3,159,1,0,1
300,4,1.3,1,70,0,0,0
301,2,6.9,1,150,0,196,0
302,2,7.5,1,152,0,0,0
303,4,3.0,1,195,0,617,1
304,1,0.1,1,22,0,0,0
305,1,1.3,1,22,0,123,0
306,3,0.8,1,79,0,0,0
307,1,1.4,3,33,0,0,0
308,2,4.33,1,128,1,0,0
309,1,3.8,1,91,0,0,0
310,4,0.9,1,39,0,0,0
311,1,7.3,1,121,0,167,0
312,1,0.67,3,21,0,0,0
313,3,2.3,1,41,0,0,0
314,2,0.7,3,45,0,0,0
315,3,0.3,3,51,0,0,0
316,1,1.6,2,165,0,0,1
317,2,4.2,2,119,0,0,1
318,4,1.8,3,110,0,190,0
319,3,0.7,2,20,0,0,0
320,1,0.8,2,64,0,248,0
321,3,4.4,2,101,0,82,1
322,1,3.9,1,101,1,0,1
323,1,4.4,1,99,0,0,1
324,4,6.1,1,158,0,0,1
325,1,1.9,2,89,0,0,0
326,1,1.3,3,80,1,0,0
327,2,2.0,1,114,0,402,0
328,3,0.5,2,49,0,0,0
329,1,6.33,1,191,0,0,0
330,4,1.0,2,78,0,0,0
331,3,1.0,1,28,0,0,0
332,1,0.8,2,42,0,0,0
333,1,2.5,1,140,0,0,0
334,1,1.3,2,45,0,0,0
335,2,0.3,1,122,1,360,0
336,3,2.6,2,65,0,0,0
337,1,1.4,3,68,0,0,0
338,2,2.0,1,153,0,392,0
339,4,1.4,2,89,0,0,0
340,1,2.6,1,91,0,0,0
341,4,2.0,2,55,0,185,0
342,2,3.3,1,118,0,0,0
343,1,0.67,3,22,0,103,0
344,3,1.4,3,63,0,138,0
345,4,0.5,2,12,0,78,0
346,3,2.7,2,50,0,0,0
347,2,1.6,3,43,1,0,0
348,4,6.6,1,173,1,0,1
349,2,3.0,1,60,0,132,1
350,1,1.0,3,113,0,0,0
351,4,5.3,2,155,0,0,1
352,4,1.0,2,91,0,0,0
353,4,1.1,2,55,0,0,0
354,2,1.4,1,173,0,419,0
355,3,0.3,3,71,0,0,0
356,2,0.4,3,24,0,88,0
357,1,2.0,2,42,0,81,0
358,2,4.33,1,141,0,0,0
359,1,1.9,3,32,0,0,0
360,4,1.3,1,55,0,0,0
361,2,7.5,1,153,0,0,0
362,2,1.4,1,113,0,270,0
363,2,1.7,2,30,0,0,0
364,3,1.0,3,29,0,148,0
365,1,6.8,2,174,0,466,1
366,1,0.3,3,35,0,0,0
367,2,2.0,2,98,0,175,0
368,2,1.0,3,30,0,159,0
369,2,2.5,1,58,0,0,0
370,4,1.0,1,25,0,147,0
371,4,0.7,1,19,0,0,0
372,4,0.7,2,44,0,174,0
373,4,1.0,1,20,0,111,0
374,2,3.1,1,98,0,220,0
375,3,1.6,1,90,0,0,0
376,3,0.7,1,61,0,0,0
377,4,2.0,2,40,0,0,0
378,2,2.1,3,38,0,0,0
379,2,1.7,2,28,0,0,0
380,1,1.5,3,34,0,0,0
381,2,2.3,3,73,0,0,0
382,4,2.0,1,133,0,0,1
383,1,0.2,1,53,0,0,0
384,4,0.6,3,21,0,0,0
385,3,0.9,1,40,0,0,0
387,4,1.8,2,82,0,0,0
388,4,3.4,3,100,0,0,1
389,1,7.0,1,155,0,0,0
390,1,0.2,1,45,0,0,0
391,3,0.3,3,9,0,0,0
392,4,1.8,3,48,0,0,0
393,4,0.1,3,18,1,109,0
394,4,3.4,1,80,0,0,0
395,2,2.8,1,64,0,0,0
396,4,0.1,1,29,0,0,0
397,3,0.7,2,48,0,0,0
398,2,0.4,1,23,0,0,0
399,4,0.2,1,84,0,0,0
400,3,6.6,1,179,0,0,1
401,4,1.5,2,30,0,112,0
402,1,4.9,1,93,1,133,0
403,2,1.9,2,39,0,0,0
404,3,0.5,2,60,0,182,0
405,1,3.8,1,133,1,290,0
406,1,2.4,1,125,0,0,0
407,1,1.8,3,58,0,0,0
408,2,2.8,1,89,0,0,0
409,1,2.67,2,82,0,125,0
410,2,3.3,1,110,0,0,0
411,4,2.3,3,54,0,0,0
412,4,1.9,3,89,0,0,0
413,3,2.3,1,42,0,0,0
414,3,1.9,2,41,0,0,0
415,4,1.0,2,38,0,124,0
416,2,0.4,1,85,0,0,0
417,4,1.0,2,83,0,0,0
418,4,1.0,3,33,0,0,0
419,4,2.1,1,50,0,0,0
420,4,3.6,3,58,0,0,0
421,4,3.1,2,115,0,0,1
422,2,6.3,1,145,1,0,0
423,2,7.5,1,161,0,0,0
424,1,0.2,1,38,0,0,0
425,4,0.8,1,28,0,0,0
426,3,2.33,1,75,0,0,0
427,3,1.3,1,35,0,116,0
428,2,1.0,1,24,0,116,0
429,4,0.1,2,78,0,0,0
430,1,1.3,3,113,0,161,0
431,3,2.1,1,75,0,224,0
432,1,5.7,1,91,0,0,0
433,4,0.2,1,31,0,141,0
434,1,1.8,2,45,0,0,0
435,3,0.8,1,80,0,0,0
436,3,1.4,3,50,0,112,0
437,4,1.0,2,31,0,0,0
438,2,3.8,2,113,1,119,1
439,4,0.6,1,29,0,0,0
440,2,1.5,1,59,0,139,0
441,1,1.3,2,43,0,0,0
442,1,3.0,3,122,0,115,1
443,1,1.0,1,29,0,0,0
444,2,0.0,3,91,0,0,0
445,3,2.2,3,65,0,0,0
448,4,2.0,2,60,0,0,0
449,3,2.0,3,60,0,0,0
450,1,0.3,1,69,0,0,0
451,2,1.75,3,48,0,89,0
452,3,0.2,2,21,0,0,0
453,4,2.8,2,53,0,0,0
454,3,0.9,3,29,0,0,0
455,4,2.2,2,60,0,0,0
456,3,0.5,2,42,0,116,0
457,3,0.3,3,69,0,0,0
458,1,1.0,1,20,0,0,0
459,2,3.0,1,200,0,458,0
460,2,2.1,1,141,0,0,0
461,2,3.7,1,81,0,0,0
462,3,8.3,3,183,0,0,1
463,2,5.5,2,149,1,0,1
464,4,3.6,3,83,0,0,1
465,1,1.9,2,35,0,172,0
466,2,0.9,3,13,0,0,0
467,1,2.4,1,39,0,0,0
468,1,0.5,3,21,0,0,0
469,2,0.7,3,10,0,0,0
470,4,1.8,2,84,0,0,0
471,4,0.1,1,30,0,161,0
472,4,0.3,1,31,0,156,0
473,1,1.2,2,182,0,547,1
474,2,6.9,1,114,0,0,0
475,3,6.1,2,152,0,0,1
476,1,0.8,2,53,0,0,0
477,4,0.4,2,24,0,78,0
478,2,3.3,1,150,0,0,0
479,2,6.0,1,132,0,470,0
480,3,1.6,3,68,0,0,0
481,1,1.2,1,53,0,0,0
482,1,4.6,2,173,1,88,1
483,3,1.0,2,30,0,0,0
484,2,0.2,1,113,0,0,0
485,1,0.8,2,15,0,0,0
486,2,3.7,1,84,0,304,0
487,4,1.4,2,88,0,0,0
488,3,2.8,1,43,0,0,0
489,2,2.1,3,43,1,0,0
490,2,2.7,1,90,0,0,0
491,4,0.3,1,34,0,104,0
492,4,1.3,1,38,0,0,0
493,1,1.0,1,173,0,0,0
494,2,8.0,1,160,0,0,0
495,4,0.6,2,44,0,0,0
496,2,0.4,3,83,0,0,0
497,4,2.6,3,94,0,0,0
498,1,2.1,3,43,0,0,0
499,3,1.7,2,42,0,0,0
500,2,0.3,1,34,0,0,0
501,3,1.9,2,39,0,0,0
502,1,0.1,2,70,0,0,0
503,4,1.8,3,39,0,185,0
504,3,2.0,3,44,0,0,0
505,3,3.1,2,69,0,0,1
506,3,0.9,3,44,0,0,0
507,3,0.1,3,32,0,0,0
508,2,0.7,3,15,0,0,0
509,2,6.8,1,118,0,112,0
510,1,1.3,2,62,0,221,0
511,4,2.2,2,82,0,0,0
512,3,3.0,1,54,0,108,0
514,3,0.3,3,74,0,0,0
515,1,1.0,3,113,0,211,0
516,3,1.7,2,81,0,0,0
517,3,1.0,2,43,0,169,0
518,1,1.8,2,34,0,0,0
519,1,2.5,3,48,0,105,0
520,4,1.2,2,54,0,129,0
521,4,1.4,2,75,0,0,0
522,1,2.8,1,72,0,224,0
524,4,0.2,1,75,0,0,0
525,2,2.8,1,79,0,179,0
526,1,6.33,1,205,0,271,0
527,2,0.1,1,65,0,89,0
528,4,0.2,1,122,0,378,1
529,1,0.8,2,82,0,0,0
530,2,0.2,1,21,0,0,0
531,4,2.1,3,50,1,0,0
532,2,2.8,1,39,1,113,0
533,1,1.9,1,101,0,0,0
534,2,0.6,3,41,0,0,0
535,1,0.3,1,132,0,0,0
536,3,2.4,2,43,0,176,0
537,1,4.9,3,131,0,0,1
538,1,0.4,2,11,0,76,0
539,1,0.3,3,21,0,117,0
540,4,2.3,3,109,0,314,0
542,3,0.1,1,81,0,0,0
543,3,2.4,1,54,0,90,0
544,2,7.8,1,164,0,0,0
545,4,0.3,1,28,0,87,0
546,3,2.6,3,68,0,203,0
547,3,2.0,3,44,1,180,0
548,1,1.4,3,61,0,0,0
549,3,1.3,2,35,0,0,0
550,3,0.3,2,54,0,0,0
551,1,0.1,1,14,0,0,0
552,4,2.2,1,52,0,230,0
553,2,0.3,1,101,0,0,0
554,2,7.2,1,149,0,0,0
555,4,0.8,1,35,1,137,0
556,3,0.3,3,21,0,129,0
557,2,1.9,1,118,0,0,0
558,4,2.0,2,38,0,0,0
559,4,0.2,1,24,0,138,0
560,1,3.7,3,59,0,0,0
561,4,1.67,3,41,0,0,0
562,1,0.8,2,85,0,0,0
563,4,1.0,1,12,0,0,0
564,1,0.6,3,32,0,152,0
566,3,3.6,3,175,1,0,1
567,3,0.9,1,28,0,0,0
568,2,0.1,1,41,0,161,0
569,3,2.1,1,70,0,185,0
570,3,6.5,2,161,1,485,1
571,4,2.2,2,53,0,0,0
572,1,3.4,1,128,0,0,0
573,3,1.0,2,50,0,0,0
574,2,2.0,2,80,0,0,0
575,1,2.7,2,93,0,0,0
576,3,0.3,3,48,0,0,0
577,2,6.8,1,149,0,0,0
578,3,2.5,2,49,0,0,0
579,1,2.7,2,88,0,0,0
580,4,0.4,3,22,0,0,0
581,4,2.2,1,55,0,0,0
582,1,0.7,3,72,0,155,0
583,2,1.7,2,38,0,0,0
584,1,3.4,1,114,0,300,0
585,4,4.0,3,83,0,0,0
586,2,0.4,1,101,0,0,0
587,1,4.9,1,94,0,272,0
588,2,2.5,1,40,1,0,0
589,1,6.0,1,128,0,0,0
590,4,2.1,3,39,0,0,0
591,1,1.0,1,51,0,0,0
592,4,2.0,3,79,1,0,0
593,4,2.2,2,48,0,0,0
594,1,0.0,1,85,0,144,0
595,1,1.8,1,41,0,94,0
596,1,3.5,3,152,0,0,1
597,2,7.2,1,125,0,0,0
598,2,0.2,3,11,0,90,0
599,2,2.5,1,103,0,0,0
600,2,0.5,1,141,0,0,0
601,1,1.4,1,38,0,0,0
602,2,0.6,1,135,0,0,0
603,2,0.5,2,28,0,89,0
604,4,2.2,1,70,0,240,0
605,1,0.2,1,41,0,0,0
606,3,0.9,2,81,0,208,0
607,1,0.1,3,170,0,0,1
608,4,1.7,2,55,0,0,0
609,4,1.5,3,24,0,0,0
610,3,1.8,2,81,0,275,0
611,4,1.8,1,32,0,83,0
612,1,1.3,1,129,0,0,0
613,1,0.9,1,108,0,0,0
614,1,8.6,1,180,0,0,0
615,2,6.9,1,139,0,0,0
616,2,1.4,3,33,0,0,0
617,4,2.6,3,74,0,0,0
618,2,0.7,3,42,0,115,0
619,1,3.0,3,73,0,0,0
620,4,2.9,2,115,0,0,1
621,2,1.8,2,114,0,0,0
622,2,1.9,1,92,0,131,0
623,1,0.3,3,34,0,78,0
624,2,1.67,2,54,0,122,0
625,2,1.0,3,64,0,211,0
626,1,0.2,3,42,0,100,0
627,3,2.1,1,70,0,0,0
628,1,1.3,2,51,0,0,0
629,4,2.9,1,71,1,218,0
630,3,1.3,1,35,0,108,0
631,3,1.0,2,40,0,0,0
632,4,2.7,3,165,0,0,1
633,1,1.5,3,18,0,0,0
634,3,1.4,1,32,1,0,0
635,3,0.2,1,35,0,169,0
636,2,6.1,1,120,0,196,0
637,4,0.1,3,31,0,0,0
638,3,1.5,1,35,0,0,0
639,2,0.2,3,32,0,0,0
640,1,3.7,3,85,0,327,0
641,2,7.8,1,139,0,0,0
642,1,0.3,1,103,0,0,0
643,2,1.4,1,152,0,0,0
644,2,2.0,2,33,0,0,0
645,4,2.2,2,84,0,322,0
646,4,1.7,1,61,0,0,0
647,4,2.2,1,64,1,123,0
648,1,1.3,2,34,0,0,0
649,4,2.1,3,82,0,0,0
650,1,5.1,3,122,0,163,1
651,3,1.5,1,58,0,131,0
652,1,2.8,1,92,0,0,0
653,2,2.4,2,78,0,205,0
654,4,4.2,3,129,0,0,1
655,2,0.7,3,13,0,0,0
656,1,2.8,3,81,0,145,0
657,1,0.67,3,23,0,0,0
658,3,0.9,3,35,0,0,0
659,4,1.7,2,79,0,0,0
660,2,3.3,1,165,0,0,0
661,2,2.8,1,52,0,0,0
662,3,2.0,2,185,0,0,1
663,3,2.2,2,49,0,0,0
664,1,1.8,3,64,0,227,0
665,4,2.0,3,61,0,0,0
666,1,2.4,1,112,1,0,0
667,3,2.0,3,72,0,190,0
669,4,2.5,2,41,0,0,0
670,4,2.6,1,61,0,239,0
671,1,3.0,2,105,1,282,1
672,1,0.2,1,23,0,0,0
673,1,0.5,3,22,0,85,0
674,3,2.1,1,59,0,0,0
675,1,2.0,2,33,0,160,0
676,1,0.9,3,11,0,103,0
677,2,2.8,1,204,0,0,0
678,4,1.8,3,61,0,207,0
679,3,1.8,2,103,0,364,0
680,3,1.5,1,51,0,0,0
681,1,6.0,3,164,0,0,1
682,1,0.1,2,12,0,0,0
683,1,3.6,2,82,0,0,0
684,1,2.4,1,164,0,449,0
685,2,1.67,2,48,0,0,0
686,4,0.6,2,38,0,0,0
687,2,1.5,2,65,0,0,0
688,4,1.9,1,71,0,207,0
689,1,0.3,1,18,1,0,0
690,2,1.6,3,52,0,75,0
691,3,2.5,2,48,0,113,0
692,1,1.0,3,30,0,111,0
693,2,2.2,3,40,0,107,0
694,1,3.8,1,112,0,81,0
695,1,1.9,1,115,0,0,0
696,2,1.0,3,63,0,82,0
697,1,3.7,3,85,0,0,0
698,1,2.5,3,59,0,220,0
699,1,0.8,3,68,0,91,0
700,2,1.8,1,84,0,0,0
701,3,0.8,3,62,0,0,0
702,3,4.0,1,109,0,0,1
703,2,7.6,1,141,0,92,0
704,1,7.4,1,129,0,0,0
705,3,0.7,2,30,0,0,0
706,1,4.7,1,148,0,0,0
707,3,0.67,2,25,0,0,0
708,3,1.3,1,21,0,115,0
709,4,2.2,1,72,0,0,0
710,3,0.9,3,59,0,87,0
711,3,1.8,2,83,0,187,0
712,2,0.3,2,10,0,0,0
713,3,0.6,2,84,0,0,0
714,3,2.0,2,98,0,0,0
715,1,1.0,1,32,1,0,0
716,4,0.4,2,31,0,161,0
717,3,0.5,1,94,0,0,0
718,2,0.2,3,21,1,137,0
719,3,4.4,1,110,0,0,0
720,1,2.2,3,38,0,0,0
721,1,1.4,3,39,0,0,0
722,3,1.2,2,132,1,0,1
723,4,2.6,1,61,0,0,0
724,1,2.0,1,92,0,0,0
725,2,6.1,1,119,0,0,0
726,4,2.1,1,53,0,0,0
727,3,1.3,2,18,0,0,0
728,2,4.4,2,114,0,0,1
729,1,3.0,3,90,0,0,0
730,1,7.0,1,140,0,205,0
731,2,3.3,1,90,0,0,0
732,1,1.9,1,85,0,0,0
733,1,1.2,1,80,0,0,0
734,2,1.1,1,53,0,0,0
735,4,2.2,2,49,0,0,0
736,3,3.3,3,152,0,0,1
737,2,2.8,2,138,0,0,1
738,4,2.2,2,80,0,0,0
739,2,2.4,2,82,0,0,0
740,1,8.1,1,195,0,0,0
741,1,1.2,3,22,0,0,0
742,1,2.5,1,81,0,0,0
743,4,2.2,1,40,1,0,0
744,2,2.8,1,154,0,0,0
745,3,1.1,2,49,0,0,0
746,4,3.4,2,85,0,0,0
747,3,0.1,2,21,1,0,0
748,1,1.0,1,14,0,0,0
749,4,1.6,2,60,0,0,0
750,2,4.33,1,138,0,0,0
751,1,1.3,3,98,0,355,0
752,4,0.6,2,22,0,0,0
753,1,1.2,2,49,0,0,0
754,2,1.9,1,102,1,0,0
755,4,0.7,2,45,0,0,0
756,4,1.3,3,82,0,0,0
759,2,1.9,2,59,0,0,0
760,3,1.1,2,52,0,0,0
761,3,0.7,1,84,0,166,0
762,1,2.7,2,85,0,100,0
763,1,0.2,1,65,0,0,0
764,2,1.7,2,89,0,314,0
765,4,1.8,1,109,0,0,1
766,1,2.8,1,81,0,0,0
767,1,1.1,3,38,0,108,0
768,2,1.7,1,72,0,0,0
769,4,2.0,2,78,0,119,0
770,2,6.9,2,172,0,0,1
771,3,2.33,1,71,0,106,0
772,1,4.1,3,165,1,0,1
773,2,3.9,1,120,0,0,0
774,1,0.2,1,39,0,0,0
775,3,0.7,2,23,0,0,0
776,2,4.6,3,135,0,91,1
777,2,0.2,1,12,0,76,0
778,2,0.7,2,92,0,0,0
779,2,6.4,3,192,0,0,1
780,4,0.8,1,42,0,0,0
781,3,3.7,3,158,0,0,1
782,3,6.0,3,194,1,587,1
783,2,7.6,1,160,0,0,0
784,2,6.3,1,98,0,0,0
