Family,CCAvg,Education,Income,CD Account,Mortgage,Personal Loan
2,1.3,1,90,0,0,0
4,0.1,3,18,1,109,0
1,2.0,2,40,0,110,0
2,0.8,3,35,0,0,0
2,0.4,1,121,0,0,0
1,1.0,1,58,0,0,0
1,5.7,1,131,0,256,0
4,0.1,3,21,0,0,0
2,0.7,2,34,0,114,0
2,1.7,2,89,0,314,0
1,3.4,1,139,0,353,0
3,0.2,1,28,0,0,0
4,0.4,2,28,0,100,0
1,1.2,1,53,0,0,0
2,0.3,2,22,0,0,0
4,2.2,2,81,0,116,0
4,2.8,2,62,0,0,0
1,0.0,2,59,0,0,0
1,0.0,1,85,0,144,0
2,2.3,3,40,0,0,0
3,2.0,3,62,0,0,0
4,1.7,1,58,0,0,0
2,3.9,1,142,0,0,0
2,0.4,1,98,0,275,0
4,0.4,2,23,0,122,0
1,1.33,1,38,0,0,0
2,2.8,1,60,0,0,0
4,2.8,2,49,0,0,0
4,0.4,1,10,0,87,0
1,0.1,1,21,0,0,0
2,3.8,3,99,0,194,0
2,2.4,2,50,0,0,0
3,5.8,3,182,0,0,1
3,2.5,1,61,0,193,0
4,1.8,3,90,0,0,0
3,1.1,2,52,0,0,0
4,1.5,3,39,0,0,0
4,4.9,1,101,0,0,0
3,1.9,2,41,0,0,0
2,2.0,3,34,0,0,0
1,0.1,3,84,0,0,0
1,1.5,1,43,0,0,0
2,2.8,2,138,0,0,1
2,1.3,1,125,0,0,0
3,7.5,1,184,0,0,1
4,0.2,1,122,0,378,1
3,4.8,2,135,0,0,1
3,1.0,2,14,0,0,0
2,1.7,2,72,0,75,0
4,0.4,2,14,0,86,0
4,2.6,1,61,0,239,0
2,0.1,3,12,1,0,0
1,1.1,3,38,0,108,0
1,1.8,1,48,0,169,0
1,2.8,2,59,0,0,0
1,2.7,2,112,1,408,0
2,0.7,2,33,0,0,0
2,2.8,1,73,0,0,0
2,1.4,1,111,0,298,0
1,2.7,1,89,1,0,0
1,0.8,2,105,0,0,0
3,2.6,3,48,0,169,0
3,1.0,2,32,0,0,0
2,3.9,1,138,0,0,0
2,2.7,1,80,0,0,0
1,3.3,2,71,1,149,1
3,0.3,2,62,0,0,0
4,4.1,2,122,0,0,1
4,3.6,3,62,0,83,0
3,0.2,2,22,0,0,0
1,0.3,1,103,0,0,0
1,1.0,3,79,0,233,0
1,2.6,1,133,0,0,0
3,0.5,3,63,0,221,0
2,0.3,1,35,0,98,0
2,0.8,3,20,0,117,0
1,0.1,2,89,0,170,0
2,1.3,1,29,0,0,0
3,3.4,1,161,0,212,1
1,7.4,1,163,0,0,0
3,1.5,1,42,0,0,0
1,2.0,1,43,0,0,0
2,0.8,3,62,0,0,0
1,4.7,1,202,0,553,0
2,0.0,3,21,0,0,0
2,0.7,1,42,0,101,0
4,2.2,2,54,0,0,0
4,0.0,1,70,0,0,0
2,1.0,3,42,0,78,0
3,0.67,2,13,0,0,0
2,1.9,2,44,0,157,0
4,1.7,2,45,0,95,0
1,2.5,1,115,0,174,0
4,2.1,2,179,0,0,1
1,0.0,1,120,0,135,0
4,3.6,3,83,0,0,1
1,5.0,2,133,0,0,1
3,1.5,1,33,0,0,0
1,4.0,3,79,0,225,0
2,0.2,1,12,0,0,0
2,0.7,2,30,0,0,0
1,5.0,1,165,0,0,0
1,3.0,3,99,0,149,1
1,4.8,3,99,0,255,1
2,2.6,3,133,0,0,1
4,2.0,2,61,0,0,0
3,3.1,2,190,0,266,1
4,5.7,3,133,1,0,1
2,0.9,3,24,0,123,0
2,2.0,3,29,0,0,0
1,1.3,1,22,0,123,0
3,2.1,3,65,0,0,0
3,1.1,2,41,0,161,0
1,6.8,2,174,0,466,1
2,1.7,3,64,0,0,0
1,4.0,1,140,0,0,0
3,1.0,2,25,0,0,0
2,0.4,1,114,0,0,0
3,4.9,1,179,0,142,1
3,1.0,1,113,0,0,0
2,2.5,1,98,1,361,0
4,1.8,3,41,0,147,0
1,1.3,1,118,1,333,0
2,2.5,1,109,0,0,0
1,2.8,2,53,0,167,0
1,0.5,3,35,0,150,0
2,2.8,1,72,0,0,0
1,0.1,1,62,0,0,0
2,0.5,1,145,0,119,0
2,1.4,1,102,0,0,0
2,2.2,1,109,0,0,0
1,0.67,3,25,0,0,0
1,4.6,1,112,0,366,0
4,1.7,2,49,0,104,0
2,1.7,1,73,0,216,0
2,6.0,1,122,1,153,0
1,0.6,1,133,0,328,0
3,2.1,3,62,0,0,0
4,2.4,1,79,0,0,0
3,0.1,3,42,0,149,0
4,1.67,3,40,0,0,0
4,2.5,2,42,0,0,0
1,0.5,3,18,0,0,0
4,1.7,3,78,0,0,0
4,2.1,3,61,0,0,0
2,6.1,1,119,0,263,0
2,0.0,1,92,0,249,0
4,2.8,2,53,0,0,0
2,3.9,1,155,0,0,0
3,2.3,1,49,0,0,0
4,1.3,1,30,0,118,0
3,2.5,2,48,0,113,0
1,2.4,1,59,1,0,0
3,0.7,2,69,0,0,0
4,2.9,1,54,0,189,0
1,1.4,3,44,0,0,0
3,1.0,2,51,1,113,0
3,0.3,3,23,0,0,0
3,1.5,1,48,0,0,0
2,2.4,2,80,0,0,0
1,1.9,2,75,0,0,0
4,1.8,3,50,0,0,0
4,2.0,3,80,0,0,0
4,2.4,3,113,0,0,0
2,2.0,1,91,0,0,0
1,2.6,2,90,0,334,0
3,1.4,1,162,0,400,1
2,6.7,1,178,0,0,0
1,1.7,1,45,0,84,0
2,1.6,3,82,0,0,0
4,0.2,1,24,0,138,0
3,1.0,3,39,0,87,0
2,2.6,3,130,0,0,1
1,0.7,2,121,1,0,1
1,2.6,2,71,0,0,0
1,1.3,1,122,0,0,0
3,0.4,1,12,0,0,0
2,3.3,1,90,0,0,0
4,2.3,3,70,0,0,0
1,0.1,2,70,0,0,0
4,1.7,2,79,1,215,0
3,7.5,3,154,1,351,1
2,0.3,1,134,0,0,0
2,3.2,3,74,0,0,0
3,2.8,1,43,0,0,0
3,0.5,3,63,1,190,0
3,2.3,1,60,0,0,0
4,4.0,3,60,0,244,0
4,2.3,3,113,0,0,0
1,1.6,3,55,0,0,0
2,0.0,1,11,0,78,0
4,1.8,3,65,0,0,0
1,4.1,1,144,0,0,0
3,2.0,1,41,0,0,0
2,0.4,3,24,0,88,0
3,1.7,2,39,0,0,0
4,0.8,1,40,0,0,0
1,1.4,3,29,0,102,0
4,1.0,1,22,0,91,0
4,2.2,2,84,0,322,0
2,1.9,1,94,0,0,0
1,4.3,1,181,0,230,0
1,1.5,3,59,0,0,0
1,1.5,3,19,0,0,0
1,1.5,2,22,0,91,0
3,2.0,3,51,0,0,0
3,2.0,1,41,0,108,0
1,1.8,3,61,0,0,0
4,3.67,2,108,0,301,1
2,0.2,1,113,0,0,0
3,1.2,3,104,0,0,0
2,6.5,1,172,0,0,0
4,7.3,2,190,1,565,1
2,0.2,1,124,0,0,0
4,2.0,3,58,0,153,0
1,1.5,3,63,0,0,0
4,1.5,3,28,0,91,0
4,4.75,2,189,0,0,1
2,0.7,2,92,0,0,0
1,0.2,1,40,1,0,0
3,0.2,1,23,0,0,0
1,0.3,3,33,1,0,0
2,2.0,2,44,0,0,0
2,3.3,1,171,0,0,0
1,4.9,1,94,0,272,0
4,1.0,2,88,0,122,0
1,0.4,3,23,0,0,0
4,0.2,3,85,0,229,0
2,0.2,1,110,0,294,0
1,4.6,1,99,1,368,1
1,4.2,2,104,0,0,1
4,2.5,2,55,0,0,0
4,0.8,1,29,0,135,0
4,1.4,2,74,0,0,0
1,7.0,1,155,0,0,0
4,0.1,3,52,0,121,0
1,5.7,1,128,0,0,0
2,6.1,1,120,0,196,0
1,9.3,2,188,0,0,1
3,4.4,1,78,0,0,0
4,1.5,3,18,0,0,0
1,0.1,1,23,0,0,0
4,0.7,3,84,0,0,0
2,1.7,3,83,0,245,0
3,1.2,3,101,0,0,0
3,1.3,2,18,0,0,0
2,1.7,2,35,0,119,0
1,0.67,3,11,1,0,0
4,2.1,3,48,0,0,0
2,1.5,1,64,0,0,0
4,0.8,1,35,1,137,0
4,0.2,3,72,0,0,0
2,1.4,3,30,0,0,0
2,2.8,1,78,0,0,0
4,3.1,2,115,0,0,1
3,0.6,1,131,0,0,1
1,2.0,1,52,0,0,0
4,1.9,3,38,0,0,0
2,1.4,3,29,0,0,0
2,1.4,1,99,0,0,0
3,0.5,3,61,0,137,0
3,5.9,1,123,1,0,1
1,1.0,3,115,0,0,0
4,2.2,2,38,0,180,0
2,3.9,1,132,0,0,0
3,2.33,2,74,0,0,0
1,7.0,1,138,0,0,0
2,1.1,1,94,0,188,0
2,2.8,1,154,0,94,0
1,0.8,3,93,0,313,0
2,0.3,1,33,0,101,0
2,0.8,3,72,0,0,0
1,0.3,1,70,0,217,0
4,2.6,3,91,0,0,0
1,4.3,1,125,0,219,0
2,1.9,1,125,0,0,0
3,2.2,3,65,1,94,0
1,1.7,1,113,0,0,0
3,1.4,3,50,0,0,0
2,2.2,1,82,0,0,0
1,1.5,2,38,0,116,0
2,2.0,2,30,0,0,0
2,0.4,3,31,0,104,0
3,2.2,3,50,0,0,0
2,7.2,1,149,0,154,0
2,0.3,2,25,0,0,0
1,0.7,1,34,0,143,0
2,6.8,1,109,0,0,0
2,1.7,3,64,0,236,0
2,2.4,2,104,0,0,0
2,0.8,3,44,0,148,0
2,1.1,1,74,0,0,0
1,0.0,1,152,0,0,0
2,0.4,1,22,0,89,0
3,2.4,1,125,0,0,1
2,4.1,2,128,0,209,1
3,2.3,1,45,0,83,0
2,1.0,3,65,0,0,0
2,1.6,3,54,0,0,0
2,0.7,2,131,0,0,1
1,3.3,3,181,1,589,1
4,1.9,2,90,0,0,0
4,2.2,2,83,0,0,0
3,0.5,3,43,0,0,0
3,2.5,2,41,0,0,0
4,1.3,1,38,0,0,0
2,0.2,3,15,0,0,0
4,0.0,2,45,0,0,0
1,7.0,1,122,0,0,0
1,0.3,1,20,0,0,0
2,4.5,3,92,0,0,0
3,0.5,2,49,0,0,0
1,1.9,2,44,0,0,0
4,6.3,1,141,1,0,1
1,5.7,1,125,0,112,0
1,2.8,2,48,0,0,0
2,1.9,2,59,0,0,0
2,7.2,1,155,0,0,0
1,0.75,3,19,0,116,0
2,1.1,1,55,0,0,0
3,2.67,2,78,0,0,0
4,3.0,1,195,0,617,1
4,0.1,2,75,0,182,0
1,3.4,1,104,0,249,0
1,5.1,3,158,1,0,1
2,4.5,3,99,0,249,0
1,1.0,1,14,0,0,0
3,0.5,2,45,0,200,0
3,1.6,1,81,0,0,0
4,2.0,3,70,0,0,0
2,7.5,1,148,1,0,0
4,0.3,2,23,0,121,0
1,2.6,2,78,0,0,0
2,2.8,1,198,0,0,0
4,2.67,1,83,0,0,0
4,0.4,1,74,0,0,0
3,4.9,1,154,1,0,1
2,0.1,1,64,0,0,0
4,0.8,1,15,0,101,0
4,0.1,1,45,0,93,0
2,0.8,3,32,0,0,0
1,0.8,1,155,0,0,0
4,2.1,3,63,0,0,0
2,6.67,1,218,0,0,0
4,1.6,1,59,0,0,0
4,6.1,1,158,0,0,1
4,1.5,3,29,0,146,0
1,0.2,1,55,0,151,0
4,0.9,2,38,0,0,0
1,2.7,1,80,0,0,0
1,0.4,3,19,0,0,0
2,1.75,3,50,0,0,0
4,6.6,2,143,0,0,1
1,2.0,1,55,0,0,0
1,0.1,2,23,0,0,0
1,1.5,3,31,0,0,0
4,0.6,2,50,0,0,0
3,1.0,1,25,0,0,0
4,0.1,3,34,0,157,0
1,2.4,2,154,0,352,1
3,0.9,3,35,0,136,0
2,1.4,1,83,0,75,0
1,7.4,1,158,0,0,0
1,1.5,3,69,0,0,0
2,3.2,1,60,0,0,0
1,0.8,3,73,0,117,0
1,1.0,1,20,0,0,0
1,4.3,1,162,0,0,0
1,1.33,1,29,0,81,0
2,2.8,1,39,1,113,0
2,6.3,1,140,0,380,0
2,0.9,3,13,0,0,0
1,0.9,1,129,0,366,0
2,0.3,1,88,0,0,0
3,0.5,3,69,0,0,0
1,0.75,3,28,0,0,0
1,2.6,2,74,0,0,0
2,0.3,1,25,0,123,0
2,1.4,3,22,0,0,0
2,0.4,1,25,0,113,0
2,0.7,2,80,0,0,0
3,0.5,3,39,0,0,0
2,6.4,3,143,1,0,1
4,2.2,1,62,0,0,0
2,0.0,1,164,0,500,0
1,0.5,2,25,0,0,0
3,2.0,3,32,0,116,0
3,2.8,1,65,0,240,0
4,1.1,2,55,0,0,0
2,0.9,3,8,0,0,0
4,1.0,2,83,0,0,0
1,8.1,1,145,0,397,0
2,0.7,3,30,0,86,0
4,0.4,3,19,0,0,0
2,0.1,1,41,0,161,0
4,3.5,1,114,0,0,1
4,1.0,2,89,0,90,0
2,0.5,1,159,0,461,0
2,0.0,3,68,0,0,0
2,6.9,1,114,0,0,0
4,1.3,2,54,0,0,0
1,0.9,3,13,0,0,0
2,1.0,2,21,0,0,0
2,2.8,1,53,0,0,0
1,2.4,1,163,0,396,0
4,1.0,1,14,1,0,0
1,2.0,1,113,0,0,0
1,0.5,2,23,0,0,0
1,1.9,3,41,0,0,0
1,0.6,3,32,0,166,0
1,4.3,2,91,1,0,1
1,1.5,2,29,0,97,0
4,1.7,3,112,0,0,0
2,0.1,1,52,0,0,0
2,0.3,1,8,0,0,0
4,1.8,3,93,0,0,0
2,2.2,1,123,0,92,0
2,6.1,1,154,0,325,0
3,0.1,2,8,0,83,0
4,1.0,1,20,0,0,0
4,0.9,2,31,0,151,0
2,7.2,1,149,0,0,0
1,1.8,1,49,0,0,0
3,1.2,3,105,0,0,0
3,0.5,3,54,0,0,0
4,4.1,2,93,0,0,1
1,0.0,1,133,0,0,0
2,3.8,3,114,0,0,0
4,0.6,2,38,0,0,0
4,0.8,1,44,0,122,0
4,1.5,3,44,0,0,0
1,1.0,1,130,0,0,0
2,0.6,3,60,0,0,0
3,2.8,1,58,0,0,0
2,0.3,1,38,0,0,0
2,2.8,1,91,0,0,0
1,3.0,3,95,0,0,0
2,1.8,1,60,0,0,0
4,1.7,3,161,1,422,1
3,1.1,2,43,0,0,0
1,3.4,3,91,0,0,1
3,0.9,3,54,0,179,0
4,0.8,1,42,0,0,0
2,0.2,3,28,0,135,0
1,2.8,2,91,0,0,0
2,3.4,1,83,0,0,1
2,3.3,1,113,0,0,0
1,2.9,3,81,0,259,0
1,1.1,3,40,0,0,0
4,0.6,1,21,0,0,0
3,2.0,2,70,0,0,0
4,0.8,1,14,0,0,0
3,1.0,2,24,0,0,0
1,0.8,2,64,0,248,0
1,0.3,1,12,0,0,0
2,1.5,3,110,0,0,0
3,2.67,2,65,0,100,0
1,0.5,2,8,0,0,0
2,2.0,2,98,0,175,0
1,8.1,1,191,0,0,0
2,6.1,1,144,0,158,0
2,6.67,1,198,0,0,0
1,3.0,2,105,0,0,1
2,0.8,3,39,0,0,0
2,1.0,1,25,0,0,0
3,0.5,3,58,0,0,0
1,1.0,1,170,0,0,0
2,8.0,1,122,0,0,0
2,1.8,2,79,0,219,0
2,0.3,3,18,1,0,0
3,2.0,3,50,0,0,0
4,1.3,3,58,0,0,0
1,4.7,1,128,0,0,0
2,2.5,1,82,0,199,0
1,2.5,1,128,0,0,0
1,3.0,3,74,0,0,0
2,2.4,2,82,0,0,0
4,1.7,1,61,0,0,0
4,2.1,3,69,0,0,0
2,1.6,1,80,0,0,0
1,4.4,1,99,0,0,1
2,1.4,2,23,0,0,0
3,2.6,2,74,0,0,0
2,6.3,3,158,0,0,1
4,2.9,1,71,0,0,0
2,1.0,1,21,0,120,0
4,0.1,3,28,0,149,0
2,2.1,3,48,0,0,0
2,0.0,1,183,0,0,0
3,3.0,2,83,0,0,0
2,1.0,2,18,0,88,0
2,2.0,1,83,0,249,0
4,2.2,1,53,0,114,0
2,2.4,2,108,0,0,0
2,2.1,1,160,0,0,0
3,5.0,3,141,1,0,1
4,1.1,3,31,1,85,0
4,1.5,2,34,0,162,0
4,0.6,2,45,0,0,0
4,1.7,1,41,0,0,0
4,2.0,3,65,0,0,0
1,0.3,3,23,0,0,0
3,2.1,1,58,0,247,0
1,3.7,3,84,0,0,0
3,0.5,2,31,0,0,0
4,2.5,1,42,0,0,0
4,0.3,2,25,0,0,0
2,0.0,1,25,0,0,0
2,0.3,2,24,0,0,0
1,1.3,2,40,0,0,0
2,3.0,1,190,0,475,0
4,0.7,1,52,0,0,0
3,1.0,1,108,0,383,0
3,0.5,3,59,0,0,0
1,0.3,3,35,0,120,0
4,0.1,2,59,0,0,0
1,4.3,1,121,0,0,0
4,2.2,2,78,0,236,0
2,0.4,1,98,0,0,0
2,2.3,3,50,0,0,0
3,4.0,2,141,0,0,1
3,2.7,2,50,0,0,0
2,3.9,1,142,0,193,0
3,2.67,1,81,0,0,0
4,4.9,1,78,0,0,0
1,4.3,1,82,0,263,0
1,0.0,1,65,0,0,0
3,1.7,2,101,0,0,0
3,3.8,2,94,1,327,1
1,1.8,1,41,0,94,0
1,1.8,3,58,0,241,0
4,1.8,3,109,0,0,0
2,1.75,3,63,0,0,0
4,3.1,2,123,1,253,1
1,4.6,1,139,0,0,0
2,2.4,2,99,0,0,0
1,0.4,3,14,0,0,0
3,1.4,3,70,0,273,0
1,1.8,3,83,0,0,0
2,2.5,1,103,0,0,0
4,1.1,2,45,0,205,0
1,2.0,2,34,0,112,0
4,2.9,2,115,0,0,1
4,1.1,3,29,0,0,0
1,0.2,2,68,0,163,0
4,1.8,3,69,0,0,0
1,3.4,1,114,0,300,0
1,1.3,2,43,0,123,0
2,1.8,2,113,0,0,0
4,3.6,2,179,0,0,1
4,0.4,1,15,0,85,0
1,1.1,3,34,0,119,0
4,0.1,2,75,1,0,0
3,0.7,2,29,0,0,0
1,0.6,1,132,0,157,0
1,0.6,3,31,0,0,0
4,1.8,3,110,0,190,0
4,2.2,2,80,0,0,0
2,7.2,1,125,0,0,0
2,1.0,2,41,0,0,0
4,0.3,1,28,0,96,0
1,2.5,1,82,0,138,0
1,3.0,3,122,0,115,1
3,4.4,1,110,0,264,0
2,0.0,1,141,0,0,0
2,4.5,1,154,0,207,0
1,1.3,1,162,0,0,0
3,2.6,2,53,0,0,0
2,1.7,2,93,0,0,0
1,3.0,3,183,1,0,1
4,1.7,1,39,0,0,0
1,0.2,1,13,0,0,0
2,3.7,1,75,0,236,0
1,0.8,3,89,0,146,0
3,1.9,2,44,0,141,0
3,1.7,2,43,0,159,0
3,1.6,1,92,0,0,0
1,1.0,1,62,0,0,0
2,0.2,1,122,0,0,0
2,0.2,3,149,0,364,1
1,2.2,3,48,0,0,0
2,0.7,2,44,0,192,0
3,1.4,1,35,0,0,0
1,0.2,1,9,0,0,0
1,5.2,1,108,0,0,0
3,0.5,2,63,0,0,0
4,1.7,3,105,0,0,0
1,0.1,1,23,0,96,0
2,1.8,2,74,0,221,0
3,6.0,2,171,0,0,1
2,3.3,1,92,0,0,0
2,1.0,2,48,0,0,0
3,3.6,3,175,1,0,1
1,2.9,1,195,0,0,0
2,6.9,2,172,0,0,1
4,1.1,2,90,0,0,0
2,6.8,1,145,0,0,0
2,2.5,1,42,0,0,0
2,7.8,1,138,0,227,0
1,3.8,1,94,0,272,0
3,2.1,3,190,0,240,1
3,0.6,2,78,0,0,0
4,1.6,1,38,0,0,0
1,1.3,2,58,0,0,0
3,0.7,2,62,0,0,0
2,3.9,1,139,0,0,0
1,3.6,2,63,0,0,0
2,1.9,1,105,0,0,0
4,1.4,2,92,0,0,0
1,2.2,3,38,0,0,0
4,1.8,3,73,0,0,0
3,0.1,2,29,1,0,0
3,1.5,1,30,0,151,0
4,2.6,1,72,1,0,0
2,0.7,1,38,0,91,0
2,1.7,3,63,0,184,0
3,0.9,3,62,0,0,0
1,4.0,1,108,0,0,0
3,1.4,1,32,0,0,0
3,0.5,3,64,0,0,0
3,3.4,2,172,0,0,1
4,0.9,2,44,0,194,0
3,1.5,1,82,0,103,0
2,1.9,1,95,0,0,0
1,1.9,2,32,0,100,0
4,0.7,3,10,0,0,0
2,0.3,1,23,0,0,0
1,0.1,2,9,0,0,0
1,1.9,3,32,0,0,0
3,5.33,2,163,1,0,1
2,1.8,2,98,0,98,0
2,2.5,1,85,0,0,0
1,1.8,3,50,0,0,0
3,2.2,3,41,0,148,0
1,2.9,1,161,0,0,0
4,1.8,1,32,0,109,0
1,0.2,2,79,0,0,0
3,2.0,2,74,0,0,0
2,0.7,3,25,0,0,0
4,1.8,3,51,0,0,0
3,1.5,1,82,0,0,0
1,0.7,3,60,0,159,0
1,1.3,2,43,0,0,0
4,0.8,1,15,0,0,0
4,3.0,2,102,0,115,1
3,0.1,2,44,0,0,0
2,3.0,1,200,0,458,0
3,2.6,3,65,0,0,0
1,1.5,3,65,0,0,0
2,3.6,3,104,0,0,1
4,0.9,1,55,0,119,0
4,2.2,1,70,0,240,0
2,1.1,1,40,0,0,0
1,1.1,3,32,0,120,0
1,3.9,3,159,0,0,1
4,1.9,3,51,0,0,0
3,0.5,3,59,1,0,0
1,0.2,2,68,0,0,0
3,2.1,3,61,0,0,0
4,7.5,2,185,0,428,1
2,1.4,2,182,0,0,1
1,1.5,3,89,0,0,0
2,6.7,1,173,0,222,0
4,2.0,3,73,0,188,0
1,2.6,3,179,0,0,1
4,2.0,2,40,0,0,0
3,2.67,2,70,0,0,0
2,0.0,3,19,0,85,0
3,2.3,1,54,0,0,0
2,1.67,2,43,0,0,0
2,1.0,3,52,0,0,0
1,4.1,1,161,0,509,0
3,0.3,3,58,0,0,0
4,0.4,2,29,0,0,0
4,4.25,1,170,1,318,1
3,0.7,2,65,0,104,0
2,3.8,3,83,0,112,0
1,0.1,1,79,0,0,0
3,0.7,2,60,0,142,0
1,1.1,3,38,0,0,0
3,2.4,2,49,0,0,0
3,2.9,2,130,0,0,1
4,0.6,1,25,0,0,0
4,2.1,3,60,0,217,0
3,2.8,1,64,0,205,0
1,2.9,3,179,0,0,1
1,1.3,2,55,0,236,0
1,2.8,2,43,0,0,0
3,0.8,1,59,0,159,0
3,2.0,2,85,0,0,0
2,0.7,2,39,0,166,0
2,1.2,3,111,0,251,1
4,0.4,2,31,0,161,0
4,1.2,2,59,0,0,0
1,1.5,3,133,0,0,1
3,1.0,2,40,0,0,0
2,1.6,3,63,0,0,0
2,1.1,2,43,0,0,0
3,5.3,1,135,1,0,1
4,0.3,2,30,0,0,0
1,2.4,1,39,0,0,0
4,1.2,2,63,0,0,0
1,0.2,1,43,0,0,0
3,1.9,2,44,0,0,0
2,0.3,1,15,0,0,0
3,0.1,2,25,0,0,0
4,0.4,2,24,0,142,0
2,3.3,1,135,1,0,0
3,0.1,3,21,0,0,0
1,8.1,1,184,0,303,0
4,2.0,2,38,0,0,0
4,3.4,1,83,0,0,0
4,1.9,2,91,0,329,0
4,1.0,2,45,0,0,0
3,3.7,2,95,0,138,1
2,1.5,2,54,0,0,0
1,5.0,1,154,0,0,0
2,0.7,1,53,0,130,0
4,2.2,2,101,0,0,0
3,0.4,1,12,1,0,0
1,0.3,1,13,0,0,0
2,0.3,1,20,0,106,0
4,2.0,3,50,0,0,0
4,1.8,3,62,0,119,0
1,1.2,2,42,0,0,0
1,2.9,3,84,0,105,0
4,1.9,3,43,0,0,0
1,0.0,2,58,0,0,0
4,5.4,3,111,0,0,1
2,1.4,1,183,0,0,0
1,2.67,2,68,0,0,0
1,1.7,1,192,0,601,0
2,0.8,3,28,0,0,0
1,2.8,2,94,0,333,0
2,4.2,3,115,1,0,1
1,6.0,3,164,0,0,1
2,4.6,3,135,0,91,1
3,2.3,1,53,0,76,0
2,1.6,3,51,0,123,0
4,2.9,1,68,0,0,0
2,1.3,1,121,0,0,0
4,1.9,2,90,0,106,0
4,2.1,3,64,0,164,0
1,0.6,1,114,0,0,0
3,1.1,1,85,0,203,0
2,0.1,1,65,0,89,0
1,6.0,1,181,1,0,0
4,4.9,1,80,0,0,0
2,6.9,1,154,0,0,0
3,2.0,1,54,0,0,0
4,1.67,3,52,0,0,0
2,0.4,1,23,0,0,0
1,0.8,2,111,0,0,0
2,6.7,1,180,0,0,0
2,1.9,2,48,0,0,0
3,0.3,3,62,0,0,0
3,4.4,1,79,0,0,0
3,0.1,3,33,0,0,0
2,4.33,1,141,0,0,0
4,0.4,3,25,0,0,0
2,6.9,1,141,0,0,0
3,2.3,1,39,0,0,0
3,1.1,1,78,0,0,0
1,1.4,3,32,0,158,0
4,0.2,1,43,0,0,0
2,7.5,1,153,0,0,0
1,3.6,2,90,0,0,1
1,3.8,1,132,0,0,0
2,1.6,3,81,0,0,0
4,2.2,3,184,0,612,1
1,0.1,2,21,0,76,0
3,0.9,3,14,0,114,0
4,1.67,3,55,0,89,0
