,Experience,Income,CCAvg,Education,Mortgage,target
381,10,45,0.2,1,0,0
382,24,23,0.5,2,0,0
383,3,108,1.8,2,0,0
384,36,14,0.3,1,109,0
385,5,50,2.1,3,209,0
386,16,53,2.0,3,0,0
387,20,15,1.0,1,0,0
388,21,134,3.3,1,0,0
389,0,75,0.3,3,0,0
390,29,82,3.7,2,0,1
391,24,68,1.5,2,120,0
392,41,105,0.8,3,0,0
393,1,55,1.7,2,175,0
394,35,24,0.1,1,0,0
395,23,190,0.3,3,305,1
396,14,34,1.7,1,0,0
397,22,65,1.5,2,0,0
398,5,123,3.1,1,0,0
399,14,75,3.0,1,0,0
400,27,71,2.6,2,0,0
401,22,89,1.4,2,0,0
402,32,161,5.8,3,0,1
403,15,83,1.0,3,0,0
404,31,49,1.6,3,103,0
405,36,139,3.9,1,0,0
406,18,43,0.7,1,163,0
407,28,39,0.7,2,0,0
408,7,113,2.0,2,315,0
409,30,29,0.1,2,0,0
410,18,39,2.1,3,0,0
411,8,169,6.5,3,272,1
412,1,70,2.6,1,0,0
413,3,148,4.1,1,0,1
414,33,49,1.7,2,104,0
415,29,65,2.8,2,0,0
416,27,155,0.4,1,107,0
417,38,52,1.7,1,218,0
418,36,41,1.5,1,0,0
419,9,45,0.9,1,101,0
420,22,42,1.2,2,0,0
421,25,8,0.3,1,97,0
422,23,43,1.3,1,0,0
423,32,40,1.6,1,0,0
424,16,82,4.0,3,0,0
425,2,20,1.0,1,116,0
426,1,62,0.0,1,229,0
427,6,53,2.2,1,114,0
428,25,20,1.0,1,111,0
429,20,182,7.6,1,0,0
430,12,43,1.2,2,0,0
431,30,84,3.7,1,304,0
432,39,10,0.8,2,0,0
433,27,61,1.8,3,207,0
434,25,15,0.6,3,0,0
435,25,35,1.7,2,0,0
436,10,22,0.5,3,85,0
437,35,35,1.2,3,122,0
438,20,82,1.7,2,0,0
439,29,33,1.9,2,144,0
440,10,74,1.3,1,0,0
441,15,121,3.5,1,368,0
442,5,68,1.8,3,0,0
443,10,65,2.2,2,0,0
444,39,82,3.4,2,0,0
445,13,173,3.3,1,243,0
446,0,119,1.5,1,0,0
447,18,22,1.4,3,0,0
448,33,122,0.2,2,0,1
449,20,73,1.5,2,128,0
450,36,98,2.8,1,0,0
451,7,25,1.0,2,0,0
452,18,80,2.67,2,0,0
453,3,112,2.5,1,389,0
454,8,58,1.3,1,0,0
455,37,11,0.1,1,0,0
456,15,38,0.7,1,91,0
457,33,51,1.6,3,123,0
458,32,135,4.8,2,0,1
459,34,33,0.2,1,0,0
460,1,190,1.3,2,197,1
461,14,61,0.2,3,0,0
462,20,93,0.8,1,101,0
463,32,54,0.3,2,0,0
464,15,51,1.1,2,131,0
465,33,41,1.67,3,0,0
466,7,108,4.6,1,0,0
467,24,84,0.7,1,166,0
468,25,43,1.0,2,165,0
469,10,92,2.7,1,0,0
470,21,121,4.7,1,0,0
471,16,140,5.6,1,0,1
472,37,19,0.4,2,124,0
473,18,22,0.3,2,0,0
474,13,15,0.1,2,90,0
475,10,54,2.5,3,0,0
476,27,15,0.8,1,101,0
477,36,75,1.7,3,0,0
478,30,99,0.1,3,0,0
479,13,58,2.1,1,247,0
480,8,34,2.0,3,0,0
481,11,38,1.7,1,0,0
482,12,29,1.4,3,0,0
483,22,118,4.7,1,159,0
484,41,55,1.1,1,0,0
485,29,92,1.9,2,0,0
486,19,71,0.3,3,0,0
487,12,194,0.2,3,211,1
488,19,70,2.8,1,0,0
489,15,141,8.0,1,0,0
490,35,51,1.4,3,0,0
491,39,64,2.2,1,0,0
492,28,61,3.0,2,0,0
493,11,40,1.1,2,166,0
494,29,93,2.7,2,256,0
495,2,19,0.4,1,0,0
496,5,121,1.5,1,0,0
497,11,69,2.1,3,0,0
498,21,22,0.2,1,104,0
499,34,94,0.5,1,0,0
500,25,112,0.6,1,0,0
501,10,21,0.1,2,0,0
502,22,80,1.1,1,0,0
503,11,44,1.1,2,85,0
504,26,40,1.1,2,131,0
505,12,89,2.7,1,0,0
506,22,69,1.7,1,209,0
507,7,111,3.8,1,0,0
508,30,38,0.2,1,0,0
509,31,13,0.7,1,0,0
510,16,125,1.9,1,0,0
511,37,55,0.9,3,0,0
512,7,140,4.0,1,0,0
513,4,18,0.3,2,0,0
514,38,115,2.0,1,0,0
515,17,115,0.4,1,0,0
516,33,79,2.7,2,294,0
517,19,24,0.67,2,0,0
518,29,79,1.6,3,0,0
519,13,68,2.1,1,0,0
520,24,84,4.9,1,0,0
521,28,33,0.7,2,0,0
522,14,128,3.9,1,196,0
523,35,131,3.8,1,0,0
524,17,164,2.4,1,449,0
525,6,99,1.5,3,0,0
526,24,70,2.9,1,0,0
527,-1,78,1.8,2,0,0
528,30,73,3.8,2,0,0
529,23,23,0.6,3,98,0
530,20,19,0.4,3,0,0
531,6,35,1.0,1,0,0
532,34,52,1.7,2,0,0
533,14,42,0.7,1,101,0
534,15,73,2.33,2,0,0
535,4,204,4.5,1,0,0
536,14,85,1.2,3,107,0
537,18,38,0.5,3,144,0
538,21,164,5.0,1,0,0
539,30,78,1.0,2,0,0
540,6,124,0.6,1,0,0
541,33,52,1.67,3,0,0
542,3,54,0.6,2,0,0
543,35,74,0.7,2,0,0
544,7,188,7.0,2,581,1
545,39,122,0.2,1,378,1
546,0,149,7.2,1,154,0
547,10,139,4.6,1,0,0
548,19,83,2.0,3,0,0
549,11,21,0.2,2,0,0
550,12,123,5.6,2,0,1
551,34,92,2.0,1,0,0
552,3,154,2.0,1,130,0
553,19,52,2.2,2,0,0
554,3,45,0.2,1,158,0
555,21,90,0.8,3,0,0
556,35,44,1.6,3,170,0
557,13,63,0.2,3,242,0
558,36,141,2.1,1,0,0
559,19,74,1.9,3,0,0
560,4,45,1.0,3,0,0
561,9,183,8.8,3,582,1
562,30,31,1.5,3,0,0
563,18,179,1.2,1,0,1
564,34,18,1.3,2,104,0
565,16,44,1.0,2,0,0
566,4,41,1.0,1,0,0
567,31,40,1.4,3,0,0
568,26,78,1.2,1,305,0
569,2,140,2.0,1,0,0
570,7,18,0.6,3,0,0
571,20,154,2.8,1,0,0
572,32,62,2.2,3,217,0
573,21,38,2.4,1,130,0
574,20,151,3.5,1,392,0
575,9,115,2.2,2,0,1
576,4,70,2.6,1,0,0
577,16,91,0.5,3,0,0
578,20,39,2.4,1,0,0
579,23,70,0.3,1,217,0
580,11,188,0.9,3,282,1
581,28,94,1.9,2,0,0
582,9,38,2.1,3,133,0
583,20,122,0.3,1,0,0
584,35,42,0.4,1,0,0
585,4,58,0.8,2,0,0
586,29,12,0.2,3,0,0
587,24,50,1.8,3,0,0
588,20,45,2.5,1,0,0
589,27,81,1.7,2,193,0
590,24,45,1.7,2,0,0
591,30,40,1.0,3,0,0
592,23,18,1.0,2,88,0
593,15,34,1.0,2,0,0
594,16,85,0.2,3,0,0
595,13,40,0.9,3,129,0
596,34,61,1.7,2,229,0
597,25,43,1.6,2,0,0
598,33,38,2.2,3,178,0
599,2,40,1.0,3,0,0
600,9,18,0.4,2,0,0
601,29,72,3.7,1,144,0
602,22,190,8.8,1,0,0
603,32,25,0.2,3,0,0
604,1,54,1.6,3,0,0
605,29,24,0.2,1,0,0
606,34,38,1.7,1,0,0
607,1,72,0.8,1,0,0
608,24,29,1.0,3,148,0
609,37,31,0.4,2,0,0
610,32,38,2.1,3,0,0
611,34,110,2.0,1,0,0
612,14,113,1.0,3,0,0
613,2,92,3.1,1,178,0
614,22,120,0.0,1,0,0
615,29,62,0.3,2,0,0
616,37,95,0.5,1,0,0
617,16,154,6.1,1,325,0
618,12,33,1.5,3,0,0
619,17,138,6.9,2,0,1
620,27,43,1.3,2,0,0
621,38,39,0.5,3,0,0
622,32,15,0.2,3,0,0
623,8,20,0.3,1,106,0
624,20,79,2.0,3,0,0
625,36,169,6.1,3,106,1
626,35,93,1.6,1,0,0
627,14,82,2.67,1,0,0
628,9,32,2.0,3,0,0
629,27,62,2.0,3,0,0
630,20,130,3.2,2,0,1
631,14,61,0.5,3,137,0
632,25,173,0.5,2,0,1
633,19,19,1.5,1,94,0
634,24,51,1.3,2,0,0
635,3,175,3.3,3,329,1
636,22,28,1.0,1,84,0
637,33,72,0.7,2,226,0
638,32,8,0.3,1,0,0
639,23,71,0.8,3,127,0
640,31,124,0.3,1,0,0
641,38,59,2.5,3,220,0
642,37,42,0.7,3,115,0
643,24,25,0.5,2,0,0
644,34,60,1.6,2,0,0
645,20,75,1.9,1,0,0
646,25,93,0.3,1,0,0
647,29,65,1.8,3,0,0
648,24,94,4.9,1,272,0
649,17,121,0.3,1,0,0
650,24,25,0.4,3,115,0
651,27,135,0.6,1,452,0
652,19,31,0.3,1,156,0
653,9,28,0.6,3,0,0
654,20,49,2.5,2,0,0
655,39,52,1.1,1,0,0
656,32,88,1.0,2,0,0
657,1,141,5.1,3,354,1
658,13,41,0.5,3,0,0
659,40,128,2.5,1,162,0
660,9,44,0.2,1,0,0
661,36,89,2.0,1,0,0
662,4,35,0.8,1,0,0
663,2,43,1.3,3,0,0
664,8,82,1.8,1,178,0
665,13,19,1.4,2,120,0
666,39,35,1.5,2,0,0
667,9,38,1.33,1,115,0
668,15,120,5.2,1,0,0
669,2,188,4.5,1,0,0
670,5,78,0.2,1,0,0
671,36,40,0.5,2,0,0
672,24,82,2.9,1,267,0
673,24,30,0.1,1,161,0
674,4,43,1.0,3,102,0
675,18,33,1.5,1,0,0
676,19,174,1.7,3,231,1
677,36,41,1.3,1,174,0
678,30,84,0.0,3,0,0
679,40,89,3.8,1,0,0
680,4,120,4.1,2,0,1
681,19,154,8.8,1,0,0
682,21,53,1.9,3,0,0
683,11,82,3.4,1,0,0
684,7,112,3.8,1,81,0
685,9,22,0.4,2,103,0
686,11,25,1.0,2,0,0
687,33,42,2.5,2,194,0
688,9,84,2.2,2,322,0
689,20,15,0.6,3,0,0
690,19,38,0.7,1,0,0
691,22,145,0.3,1,140,0
692,15,53,0.7,3,0,0
693,34,60,2.5,3,103,0
694,18,68,2.9,1,0,0
695,34,21,0.3,3,129,0
696,19,70,2.1,1,0,0
697,5,38,0.8,1,129,0
698,35,58,0.0,2,0,0
699,11,59,0.1,2,0,0
700,28,31,0.1,3,0,0
701,0,71,1.8,2,0,0
702,9,41,1.2,2,0,0
703,5,29,0.3,1,0,0
704,39,114,0.8,3,0,0
705,4,40,0.8,1,0,0
706,6,44,0.8,1,122,0
707,32,84,1.6,1,0,0
708,39,184,5.4,3,176,1
709,25,83,3.6,3,188,0
710,4,38,1.9,3,0,0
711,12,179,0.0,1,380,0
712,8,10,0.4,2,0,0
713,31,38,0.7,2,0,0
714,20,185,7.5,2,428,1
715,24,72,1.4,3,0,0
716,9,82,2.5,1,138,0
717,31,134,0.3,1,0,0
718,10,152,6.5,1,0,0
719,17,42,2.2,2,185,0
720,10,83,2.8,3,0,0
721,5,141,0.8,1,0,0
722,31,49,1.67,3,0,0
723,5,178,6.7,1,0,0
724,32,41,2.5,1,0,0
725,23,84,3.1,2,0,1
726,6,174,6.7,1,0,0
727,17,81,0.2,3,167,0
728,30,145,6.0,3,0,1
729,17,139,2.9,3,0,1
730,32,173,4.6,2,88,1
731,26,48,1.6,2,0,0
732,21,39,2.1,3,0,0
733,34,19,1.2,3,0,0
734,25,40,1.3,2,0,0
735,30,21,0.7,2,0,0
736,-2,80,1.6,3,238,0
737,17,80,0.3,1,0,0
738,34,68,2.8,1,113,0
739,31,48,2.1,3,0,0
740,5,28,0.3,1,0,0
741,26,42,1.1,2,151,0
742,26,62,1.3,2,221,0
743,26,35,0.9,3,0,0
744,33,15,0.9,2,0,0
745,40,40,1.1,3,0,0
746,13,71,2.7,1,94,0
747,14,182,2.6,3,0,1
748,18,39,0.3,3,0,0
749,5,121,3.3,1,0,0
750,8,38,2.0,3,0,0
751,17,153,1.7,1,337,0
752,40,75,2.0,3,0,0
753,27,25,0.0,1,0,0
754,3,173,6.7,1,222,0
755,30,153,2.8,2,0,1
756,21,32,0.6,1,77,0
757,31,114,5.2,1,0,1
758,25,22,0.2,1,83,0
759,19,68,3.7,3,0,0
760,10,41,2.4,2,0,0
761,19,31,0.5,2,0,0
762,24,33,1.7,2,0,0
763,12,58,2.8,1,0,0
764,21,193,8.1,3,0,1
765,17,111,3.0,1,0,1
766,23,65,2.0,3,0,0
767,14,54,1.1,2,159,0
768,24,75,1.4,3,0,0
769,16,155,0.1,3,0,1
770,5,34,1.9,3,156,0
771,29,111,3.6,3,0,1
772,1,43,1.1,2,0,0
773,0,88,0.8,1,134,0
774,41,114,0.8,3,0,0
775,14,61,0.5,3,0,0
776,29,154,2.4,2,352,1
777,12,29,1.33,1,81,0
778,16,83,0.2,3,0,0
779,8,145,2.7,3,0,1
780,24,188,1.3,1,184,1
781,13,23,0.2,3,0,0
782,29,162,2.9,1,0,0
783,15,149,3.9,1,319,0
784,-2,81,1.8,2,0,0
785,29,21,0.1,3,0,0
786,0,52,2.6,3,159,0
787,36,19,0.2,3,0,0
788,16,60,3.2,1,0,0
789,19,81,3.2,1,0,0
790,22,141,3.3,1,0,0
791,37,155,2.9,1,0,0
792,4,78,2.2,2,236,0
793,0,54,1.1,2,0,0
794,16,155,7.0,1,0,0
795,5,115,1.3,1,101,0
796,4,59,2.2,1,232,0
797,19,81,0.2,3,0,0
798,37,140,6.9,1,97,0
799,36,115,2.8,1,202,0
800,30,40,2.3,3,0,0
801,34,103,2.6,1,0,0
802,6,41,2.4,2,0,0
803,28,80,4.5,3,0,0
804,7,71,0.1,1,78,0
805,3,49,1.5,1,0,0
806,13,72,2.8,1,0,0
807,6,48,1.2,1,0,0
808,34,45,1.3,2,201,0
809,39,94,2.0,1,0,0
810,18,85,4.0,3,287,0
811,37,38,1.1,3,0,0
812,14,33,1.4,3,0,0
813,5,85,1.3,1,119,0
814,1,70,2.6,1,218,0
815,40,15,0.3,3,115,0
816,22,40,2.2,2,87,0
817,6,95,3.9,3,146,1
818,7,35,1.33,1,131,0
819,9,84,2.2,2,323,0
820,14,91,0.0,1,0,0
821,0,91,1.8,2,321,0
822,35,174,4.7,1,0,0
823,13,33,0.75,3,0,0
824,7,38,0.2,3,0,0
825,13,78,2.8,3,0,0
826,36,59,1.7,1,148,0
827,31,103,1.8,2,364,0
828,35,80,0.5,1,0,0
829,28,74,1.1,1,0,0
830,7,58,1.0,1,0,0
831,10,79,2.1,3,182,0
832,7,80,1.5,3,0,0
833,25,190,4.2,2,0,1
834,16,69,2.4,1,0,0
835,17,23,0.0,3,0,0
836,40,63,1.2,2,0,0
837,27,78,3.6,3,141,0
838,41,105,3.0,2,282,1
839,25,13,0.9,3,0,0
840,9,73,3.4,1,140,0
841,30,44,1.5,1,117,0
842,7,105,4.0,1,331,0
843,40,20,0.1,3,0,0
844,31,35,0.1,2,114,0
845,22,14,0.1,3,0,0
846,36,84,2.8,1,0,0
847,5,93,1.8,3,0,0
848,11,72,2.6,2,0,0
849,14,64,1.5,3,0,0
850,27,39,0.7,2,166,0
851,13,119,3.3,1,0,0
852,37,19,1.3,2,97,0
853,12,25,1.0,1,0,0
854,32,98,3.9,3,0,1
855,17,165,8.0,1,0,0
856,6,13,0.3,1,0,0
857,38,21,0.8,2,76,0
858,16,120,6.1,1,196,0
859,37,23,0.4,2,0,0
860,36,41,1.0,3,154,0
861,19,73,2.33,1,0,0
862,5,30,0.8,1,158,0
863,16,201,10.0,2,0,1
864,7,29,0.6,3,0,0
865,36,13,0.5,1,0,0
866,22,118,7.5,1,0,0
867,5,23,0.9,3,0,0
868,33,30,1.5,1,151,0
869,8,39,0.8,1,0,0
870,32,42,1.4,3,158,0
